ticker,name,sector,industry,indices
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,sp600
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,sp500
IBM,IBM,Information Technology,IT Consulting & Other Services,sp500
IBOC,Intl Bancshares Corp,Financials,Regional Banks,sp400
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,sp600
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,sp500
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Materials & Equipment,sp600
ICUI,ICU Medical,Health Care,Health Care Supplies,sp600
IDA,Idacorp,Utilities,Electric Utilities,sp400
IDCC,InterDigital,Information Technology,Communications Equipment,sp400
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,sp500
IESC,IES Holdings,Industrials,Construction & Engineering,sp400
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,sp500
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,sp500
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,sp600
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services,sp400
INCY,Incyte,Health Care,Biotechnology,sp500
INDB,Independent Bank Corp.,Financials,Regional Banks,sp600
INDV,Indivior,Health Care,Pharmaceuticals,sp600
INGR,Ingredion,Consumer Staples,Agricultural Products & Services,sp400
INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment,sp600
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,sp600
INTC,Intel,Information Technology,Semiconductors,sp500
INTU,Intuit,Information Technology,Application Software,sp500
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,sp600
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,sp500
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Services,sp600
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,sp600
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,sp500
IPAR,"Inter Parfums, Inc.",Consumer Staples,Household Products,sp600
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,sp400
IQV,IQVIA,Health Care,Life Sciences Tools & Services,sp500
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,sp500
IRDM,Iridium Communications,Communication Services,Alternative Carriers,sp600
IRM,Iron Mountain,Real Estate,Other Specialized REITs,sp500
IRT,Independence Realty Trust,Real Estate,Multi-Family Residential REITs,sp400
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,sp500
IT,Gartner,Information Technology,IT Consulting & Other Services,sp500
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,sp600
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,sp600
ITT,ITT Inc.,Industrials,Industrial Machinery & Supplies & Components,sp400
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,sp500
IVT,InvenTrust Properties,Real Estate,Retail REITs,sp600
IVZ,Invesco,Financials,Asset Management & Custody Banks,sp500
J,Jacobs Solutions,Industrials,Construction & Engineering,sp500
JAZZ,Jazz Pharmaceuticals,Health Care,Pharmaceuticals,sp400
JBGS,JBG Smith,Real Estate,Office REITs,sp600
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,sp500
JBL,Jabil,Information Technology,Electronic Manufacturing Services,sp500
JBLU,JetBlue,Industrials,Passenger Airlines,sp600
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,sp600
JBTM,JBT Marel Corporation,Industrials,Industrial Machinery & Supplies & Components,sp600
JCI,Johnson Controls,Industrials,Building Products,sp500
JEF,Jefferies,Financials,Multi-Sector Holdings,sp400
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,sp600
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,sp500
JLL,Jones Lang LaSalle,Real Estate,Real Estate Services,sp400
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,sp500
JOE,St. Joe Company,Real Estate,Real Estate Development,sp600
JPM,JPMorgan Chase,Financials,Diversified Banks,sp500
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,sp600
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,sp600
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,sp600
KBH,KB Home,Consumer Discretionary,Homebuilding,sp400
KBR,"KBR, Inc.",Industrials,Diversified Support Services,sp400
KD,Kyndryl,Information Technology,IT Consulting & Other Services,sp400
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
KEX,Kirby Corporation,Industrials,Marine Transportation,sp400
KEY,KeyCorp,Financials,Regional Banks,sp500
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,sp500
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,sp600
KGS,"Kodiak Gas Services, Inc.",Energy,Oil & Gas Equipment & Services,sp600
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,sp500
KIM,Kimco Realty,Real Estate,Retail REITs,sp500
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,sp500
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,sp500
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Materials & Equipment,sp600
KMB,Kimberly-Clark,Consumer Staples,Household Products,sp500
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,sp500
KMPR,Kemper Corporation,Financials,Multi-line Insurance,sp600
KMT,Kennametal,Industrials,Industrial Machinery & Supplies & Components,sp600
KMX,"CarMax, Inc.",Consumer Discretionary,Automotive Retail,sp600
KN,Knowles Corporation,Information Technology,Electronic Components,sp600
KNF,Knife River Corporation,Materials,Construction Materials,sp400
KNSL,Kinsale Capital Group,Financials,Property & Casualty Insurance,sp400
KNTK,"Kinetik Holdings, Inc.",Energy,Oil & Gas Storage & Transportation,sp600
KNX,Knight-Swift,Industrials,Cargo Ground Transportation,sp400
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,sp600
KR,Kroger,Consumer Staples,Food Retail,sp500
KRC,Kilroy Realty Corp,Real Estate,Office REITs,sp400
KRG,Kite Realty Group Trust,Real Estate,Retail REITs,sp400
KRMN,Karman Holdings,Industrials,Aerospace & Defense,sp600
KRYS,Krystal Biotech,Health Care,Biotechnology,sp400
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,sp600
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp600
KTOS,Kratos Defense & Security Solutions,Industrials,Aerospace & Defense,sp400
KVUE,Kenvue,Consumer Staples,Personal Care Products,sp500
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,sp600
L,Loews Corporation,Financials,Multi-line Insurance,sp500
LAD,Lithia Motors,Consumer Discretionary,Automotive Retail,sp400
LAMR,Lamar Advertising Company,Real Estate,Other Specialized REITs,sp400
LAUR,"Laureate Education, Inc.",Consumer Discretionary,Education Services,sp600
LAZ,Lazard,Financials,Diversified Capital Markets,sp600
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,sp600
LCII,LCI Industries,Consumer Discretionary,Automotive Parts & Equipment,sp600
LDOS,Leidos,Industrials,Diversified Support Services,sp500
LEA,Lear,Consumer Discretionary,Automotive Parts & Equipment,sp400
LECO,Lincoln Electric,Industrials,Industrial Machinery & Supplies & Components,sp400
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,sp600
LEN,Lennar,Consumer Discretionary,Homebuilding,sp500
LEU,Centrus Energy Corp.,Energy,Coal & Consumable Fuels,sp600
LFST,Lifestance Health,Health Care,Health Care Services,sp600
LFUS,Littelfuse,Information Technology,Electronic Components,sp400
LGIH,LGI Homes,Consumer Discretionary,Homebuilding,sp600
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,sp600
LH,Labcorp,Health Care,Health Care Services,sp500
LHX,L3Harris,Industrials,Aerospace & Defense,sp500
LIF,Life360,Information Technology,Application Software,sp600
LII,Lennox International,Industrials,Building Products,sp500
LIN,Linde plc,Materials,Industrial Gases,sp500
LITE,Lumentum,Information Technology,Communications Equipment,sp500
LIVN,LivaNova,Health Care,Health Care Equipment,sp400
LKFN,Lakeland Financial,Financials,Regional Banks,sp600
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,sp600
LLY,Lilly (Eli),Health Care,Pharmaceuticals,sp500
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,sp600
LMT,Lockheed Martin,Industrials,Aerospace & Defense,sp500
LNC,Lincoln Financial,Financials,Multi-line Insurance,sp600
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,sp600
LNT,Alliant Energy,Utilities,Electric Utilities,sp500
LNTH,Lantheus Holdings,Health Care,Health Care Supplies,sp400
LOPE,Grand Canyon Education,Consumer Discretionary,Education Services,sp400
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,sp500
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,sp600
LPX,Louisiana-Pacific,Industrials,Building Products,sp400
LQDA,Liquidia Corporation,Health Care,Pharmaceuticals,sp600
LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services,sp600
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,sp500
LRN,"Stride, Inc.",Consumer Discretionary,Education Services,sp600
LSCC,Lattice Semiconductor,Information Technology,Semiconductors,sp400
LSTR,Landstar System,Industrials,Cargo Ground Transportation,sp400
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,sp600
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,Leisure Facilities,sp600
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,sp600
LUV,Southwest Airlines,Industrials,Passenger Airlines,sp500
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,sp500
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,sp600
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,sp600
LYB,LyondellBasell,Materials,Specialty Chemicals,sp500
LYFT,"Lyft, Inc.",Industrials,Passenger Ground Transportation,sp600
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,sp500
LZ,"LegalZoom.com, Inc.",Industrials,Research & Consulting Services,sp600
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,sp600
M,Macy's,Consumer Discretionary,Broadline Retail,sp400
MA,Mastercard,Financials,Transaction & Payment Processing Services,sp500
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,sp500
MAC,Macerich,Real Estate,Retail REITs,sp600
MAN,ManpowerGroup,Industrials,Human Resource & Employment Services,sp600
MANH,Manhattan Associates,Information Technology,Application Software,sp400
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure,sp600
MAS,Masco,Industrials,Building Products,sp500
MAT,Mattel,Consumer Discretionary,Leisure Products,sp400
MATW,Matthews International Corporation,Consumer Discretionary,Specialized Consumer Services,sp600
MATX,"Matson, Inc.",Industrials,Marine Transportation,sp600
MBC,"MasterBrand, Inc.",Industrials,Building Products,sp600
MBGL,"Mobility Global, Inc.",Industrials,Data Processing & Outsourced Services,sp600
MBIN,Merchants Bancorp,Financials,Regional Banks,sp600
MC,Moelis & Company,Financials,Investment Banking & Brokerage,sp600
MCD,McDonald's,Consumer Discretionary,Restaurants,sp500
MCHP,Microchip Technology,Information Technology,Semiconductors,sp500
MCK,McKesson Corporation,Health Care,Health Care Distributors,sp500
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,sp500
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,sp600
MCY,Mercury General,Financials,Property & Casualty Insurance,sp600
MD,Pediatrix Medical Group,Health Care,Health Care Services,sp600
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,sp500
MDT,Medtronic,Health Care,Health Care Equipment,sp500
MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities,sp600
MEDP,Medpace,Health Care,Life Sciences Tools & Services,sp400
MET,MetLife,Financials,Life & Health Insurance,sp500
META,Meta Platforms,Communication Services,Interactive Media & Services,sp500
MFP,"Midera Food Processing, Inc.",Industrials,Industrial Machinery & Supplies & Components,sp600
MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,sp600
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,sp500
MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production,sp600
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,sp600
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,sp600
MIDD,Middleby,Industrials,Industrial Machinery & Supplies & Components,sp400
MIR,"Mirion Technologies, Inc.",Information Technology,Electronic Equipment & Instruments,sp600
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,sp500
MKSI,MKS Instruments,Information Technology,Semiconductor Materials & Equipment,sp400
MKTX,MarketAxess,Financials,Financial Exchanges & Data,sp600
MLI,Mueller Industries,Industrials,Industrial Machinery & Supplies & Components,sp400
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,sp600
MLM,Martin Marietta Materials,Materials,Construction Materials,sp500
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,sp600
MMM,3M,Industrials,Industrial Conglomerates,sp500
MMS,Maximus Inc.,Industrials,Data Processing & Outsourced Services,sp400
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,sp600
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
MO,Altria,Consumer Staples,Tobacco,sp500
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,sp400
MOH,Molina Healthcare,Health Care,Managed Health Care,sp400
MORN,"Morningstar, Inc.",Financials,Financial Exchanges & Data,sp400
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,sp500
MP,MP Materials,Materials,Diversified Metals & Mining,sp400
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,sp500
MPT,Medical Properties Trust,Real Estate,Health Care REITs,sp600
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,sp500
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,sp600
MRK,Merck & Co.,Health Care,Pharmaceuticals,sp500
MRNA,Moderna,Health Care,Biotechnology,sp500
MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs,sp600
MRSH,Marsh McLennan,Financials,Insurance Brokers,sp500
MRTN,"Marten Transport, Ltd.",Industrials,Cargo Ground Transportation,sp600
MRVL,Marvell Technology,Information Technology,Semiconductors,sp500
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,sp500
MSA,MSA Safety,Industrials,Office Services & Supplies,sp400
MSCI,MSCI,Financials,Financial Exchanges & Data,sp500
MSEX,Middlesex Water Company,Utilities,Water Utilities,sp600
MSFT,Microsoft,Information Technology,Systems Software,sp500
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,sp600
MSI,Motorola Solutions,Information Technology,Communications Equipment,sp500
MSM,MSC Industrial Direct,Industrials,Trading Companies & Distributors,sp400
MTB,M&T Bank,Financials,Regional Banks,sp500
MTCH,Match Group,Communication Services,Interactive Media & Services,sp600
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,sp500
MTDR,Matador Resources,Energy,Oil & Gas Exploration & Production,sp400
MTG,MGIC Investment Corporation,Financials,Reinsurance,sp400
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,sp600
MTN,Vail Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp400
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,sp600
MTSI,MACOM Technology Solutions,Information Technology,Semiconductors,sp400
MTUS,Metallus Inc,Materials,Steel,sp600
MTX,Minerals Technologies,Materials,Specialty Chemicals,sp600
MTZ,MasTec,Industrials,Construction & Engineering,sp400
MU,Micron Technology,Information Technology,Semiconductors,sp500
MUR,Murphy Oil,Energy,Oil & Gas Exploration & Production,sp400
MUSA,Murphy USA,Consumer Discretionary,Automotive Retail,sp400
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components,sp600
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,sp600
MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering,sp600
MZTI,The Marzetti Company,Consumer Staples,Packaged Foods & Meats,sp400
NABL,"N-able, Inc.",Information Technology,Systems Software,sp600
NATL,NCR Atleos,Financials,Transaction & Payment Processing Services,sp600
NAVI,Navient,Financials,Consumer Finance,sp600
NBHC,National Bank Holdings Corporation,Financials,Regional Banks,sp600
NBIX,Neurocrine Biosciences,Health Care,Biotechnology,sp400
NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks,sp600
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,sp500
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,sp500
NE,Noble Corporation,Energy,Oil & Gas Drilling,sp600
NEE,NextEra Energy,Utilities,Multi-Utilities,sp500
NEM,Newmont,Materials,Gold,sp500
NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services,sp600
NEOG,Neogen,Health Care,Health Care Supplies,sp600
NEU,NewMarket Corporation,Materials,Specialty Chemicals,sp400
NFG,National Fuel Gas,Utilities,Gas Utilities,sp400
NFLX,Netflix,Communication Services,Movies & Entertainment,sp500
NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals,sp600
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,sp600
NHI,"National Health Investors, Inc.",Real Estate,Health Care REITs,sp600
NI,NiSource,Utilities,Multi-Utilities,sp500
NIC,Nicolet Bankshares,Financials,Regional Banks,sp600
NJR,New Jersey Resources,Utilities,Gas Utilities,sp400
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
NLY,Annaly Capital Management,Financials,Mortgage REITs,sp400
NMIH,"NMI Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,sp600
NNN,NNN Reit,Real Estate,Retail REITs,sp400
NOC,Northrop Grumman,Industrials,Aerospace & Defense,sp500
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,sp600
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,sp400
NOVT,Novanta,Information Technology,Electronic Equipment & Instruments,sp400
NOW,ServiceNow,Information Technology,Systems Software,sp500
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,sp600
NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery & Supplies & Components,sp600
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,sp500
NSC,Norfolk Southern,Industrials,Rail Transportation,sp500
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,sp600
NSP,Insperity,Industrials,Human Resource & Employment Services,sp600
NSSC,Napco Security Technologies,Information Technology,Electronic Equipment & Instruments,sp600
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,sp600
NTNX,Nutanix,Information Technology,Systems Software,sp400
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,sp500
NTST,NETSTREIT Corp.,Real Estate,Retail REITs,sp600
NUE,Nucor,Materials,Steel,sp500
NVDA,Nvidia,Information Technology,Semiconductors,sp500
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,sp500
NVST,Envista Holdings,Health Care,Health Care Supplies,sp400
NVT,nVent Electric plc,Industrials,Electrical Components & Equipment,sp400
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,sp600
NWE,NorthWestern Energy,Utilities,Multi-Utilities,sp400
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,sp600
NWN,NW Natural,Utilities,Gas Utilities,sp600
NWS,News Corp (Class B),Communication Services,Publishing,sp500
NWSA,News Corp (Class A),Communication Services,Publishing,sp500
NX,Quanex Building Products Corporation,Industrials,Building Products,sp600
NXPI,NXP Semiconductors,Information Technology,Semiconductors,sp500
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs,sp600
NXST,Nexstar Media Group,Communication Services,Broadcasting,sp400
NXT,Nextpower,Industrials,Electrical Components & Equipment,sp400
NYT,New York Times Company,Communication Services,Publishing,sp400
